iter	Passed	Remaining
0	47	47505
1	48	24013
2	48	16240
3	49	12252
4	49	9878
5	51	8452
6	51	7319
7	51	6432
8	52	5773
9	52	5242
10	53	4812
11	54	4452
12	54	4149
13	55	3888
14	55	3661
15	56	3462
16	56	3288
17	57	3116
18	57	2978
19	58	2853
20	58	2741
21	59	2646
22	60	2554
23	60	2475
24	61	2396
25	62	2329
26	63	2280
27	63	2216
28	74	2494
29	75	2428
30	75	2355
31	75	2287
32	75	2223
33	76	2163
34	76	2113
35	77	2070
36	77	2027
37	78	1978
38	78	1936
39	79	1914
40	80	1879
41	80	1843
42	81	1810
43	81	1778
44	82	1749
45	82	1721
46	83	1694
47	84	1667
48	84	1641
49	85	1621
50	94	1753
51	94	1728
52	95	1699
53	95	1671
54	95	1648
55	96	1627
56	103	1715
57	104	1689
58	104	1666
59	104	1644
60	105	1622
61	105	1601
62	106	1580
63	106	1558
64	106	1538
65	107	1519
66	107	1499
67	108	1480
68	108	1464
69	108	1447
70	109	1431
71	109	1415
72	110	1401
73	110	1385
74	111	1370
75	111	1357
76	112	1343
77	121	1434
78	121	1421
79	122	1408
80	123	1396
81	123	1381
82	123	1364
83	124	1353
84	124	1340
85	124	1327
86	125	1315
87	125	1304
88	126	1297
89	127	1287
90	127	1276
91	128	1266
92	128	1256
93	129	1246
94	129	1237
95	130	1227
96	130	1216
97	131	1207
98	131	1198
99	132	1189
100	132	1180
101	132	1169
102	133	1159
103	136	1178
104	137	1168
105	137	1158
106	137	1148
107	137	1139
108	138	1129
109	138	1120
110	138	1111
111	139	1102
112	139	1093
113	139	1084
114	140	1077
115	140	1070
116	140	1063
117	141	1057
118	141	1050
119	142	1044
120	142	1038
121	143	1032
122	143	1026
123	144	1021
124	144	1014
125	145	1009
126	146	1003
127	146	998
128	147	993
129	147	988
130	148	983
131	148	978
132	149	972
133	149	968
134	150	962
135	150	957
136	151	952
137	151	947
138	152	943
139	152	938
140	153	934
141	153	927
142	154	923
143	155	923
144	155	919
145	156	915
146	156	910
147	157	906
148	157	900
149	158	896
150	158	893
151	159	889
152	159	885
153	160	881
154	160	877
155	161	873
156	162	870
157	162	866
158	163	862
159	163	858
160	163	853
161	164	850
162	164	846
163	165	843
164	166	843
165	167	840
166	168	838
167	168	836
168	169	834
169	170	831
170	170	828
171	171	825
172	171	821
173	172	817
174	172	812
175	172	809
176	173	804
177	173	801
178	173	796
179	174	792
180	174	788
181	174	784
182	174	780
183	175	776
184	175	772
185	175	768
186	175	764
187	176	760
188	176	756
189	176	753
190	176	749
191	177	745
192	177	741
193	177	738
194	177	734
195	178	730
196	178	727
197	178	723
198	178	720
199	179	716
200	179	713
201	179	709
202	179	706
203	180	703
204	180	699
205	180	696
206	180	693
207	181	689
208	181	686
209	181	683
210	181	680
211	182	676
212	182	673
213	182	670
214	182	667
215	183	664
216	183	661
217	183	658
218	183	655
219	184	652
220	184	649
221	184	646
222	184	644
223	185	641
224	185	638
225	185	635
226	185	632
227	186	630
228	186	627
229	186	624
230	186	621
231	187	619
232	187	616
233	187	613
234	187	611
235	187	608
236	188	605
237	188	603
238	188	600
239	188	598
240	189	595
241	189	593
242	189	590
243	189	588
244	190	585
245	190	583
246	190	581
247	190	578
248	191	576
249	191	574
250	191	571
251	191	569
252	192	567
253	192	564
254	192	562
255	192	560
256	193	558
257	193	556
258	193	554
259	193	551
260	194	549
261	194	547
262	194	545
263	194	543
264	195	541
265	195	539
266	195	536
267	195	534
268	196	532
269	196	530
270	196	528
271	196	526
272	197	524
273	197	522
274	197	520
275	197	518
276	197	516
277	198	514
278	198	512
279	198	510
280	198	509
281	199	507
282	199	505
283	199	503
284	199	501
285	200	499
286	200	497
287	200	496
288	200	494
289	201	492
290	201	490
291	201	488
292	201	487
293	202	485
294	202	483
295	202	481
296	202	480
297	203	478
298	203	476
299	203	474
300	203	473
301	203	471
302	204	469
303	204	468
304	204	466
305	204	464
306	205	463
307	205	461
308	205	460
309	205	458
310	206	456
311	206	455
312	206	453
313	206	452
314	207	450
315	207	448
316	207	447
317	207	445
318	208	444
319	208	442
320	208	441
321	208	439
322	209	438
323	209	436
324	209	435
325	209	433
326	210	432
327	210	430
328	210	429
329	210	427
330	211	426
331	211	425
332	211	423
333	211	422
334	211	420
335	212	419
336	212	417
337	212	416
338	212	415
339	213	413
340	213	412
341	213	411
342	213	409
343	214	408
344	214	406
345	214	405
346	214	404
347	215	402
348	215	401
349	215	400
350	215	398
351	215	397
352	216	396
353	216	395
354	216	393
355	216	392
356	217	391
357	217	389
358	217	388
359	217	387
360	218	386
361	218	384
362	218	383
363	218	382
364	219	381
365	219	380
366	219	378
367	219	377
368	220	376
369	220	375
370	220	373
371	220	372
372	221	371
373	221	370
374	221	369
375	221	368
376	222	367
377	222	365
378	222	364
379	222	363
380	223	362
381	223	361
382	223	360
383	223	359
384	224	358
385	224	356
386	224	355
387	224	354
388	225	353
389	225	352
390	225	351
391	225	350
392	226	349
393	226	348
394	226	346
395	226	345
396	227	344
397	227	343
398	227	342
399	227	341
400	227	340
401	228	339
402	228	338
403	228	337
404	228	336
405	229	335
406	229	334
407	229	333
408	229	332
409	230	331
410	230	330
411	230	329
412	230	328
413	231	327
414	231	326
415	231	325
416	231	324
417	232	323
418	232	322
419	232	321
420	232	320
421	233	319
422	233	318
423	233	317
424	233	316
425	233	315
426	234	314
427	234	313
428	234	312
429	234	311
430	235	310
431	235	309
432	235	308
433	235	307
434	236	306
435	236	305
436	236	304
437	236	303
438	237	302
439	237	301
440	237	301
441	237	300
442	237	299
443	238	298
444	238	297
445	238	296
446	239	295
447	239	294
448	239	293
449	239	293
450	240	292
451	240	291
452	240	290
453	240	289
454	241	288
455	241	287
456	241	286
457	241	286
458	242	285
459	242	284
460	242	283
461	242	282
462	242	281
463	243	280
464	243	280
465	243	279
466	243	278
467	244	277
468	244	276
469	244	275
470	244	275
471	245	274
472	245	273
473	245	272
474	245	271
475	246	270
476	246	270
477	246	269
478	246	268
479	247	267
480	247	266
481	247	266
482	247	265
483	248	264
484	248	263
485	248	262
486	248	262
487	249	261
488	249	260
489	249	259
490	249	258
491	249	258
492	250	257
493	250	256
494	250	255
495	250	255
496	251	254
497	251	253
498	251	252
499	252	252
500	252	251
501	252	250
502	252	249
503	253	249
504	253	248
505	253	247
506	253	246
507	254	246
508	254	245
509	254	244
510	254	243
511	254	243
512	255	242
513	255	241
514	255	240
515	255	240
516	256	239
517	256	238
518	256	237
519	256	237
520	257	236
521	257	235
522	257	235
523	257	234
524	258	233
525	258	232
526	258	232
527	258	231
528	259	230
529	259	230
530	259	229
531	259	228
532	260	227
533	260	227
534	260	226
535	260	225
536	261	225
537	261	224
538	261	223
539	261	222
540	261	222
541	262	221
542	262	220
543	262	220
544	262	219
545	263	218
546	263	218
547	263	217
548	263	216
549	264	216
550	264	215
551	264	214
552	264	214
553	265	213
554	265	212
555	265	212
556	265	211
557	266	210
558	266	210
559	266	209
560	266	208
561	266	208
562	267	207
563	267	206
564	267	206
565	267	205
566	268	204
567	268	204
568	268	203
569	268	202
570	269	202
571	269	201
572	269	200
573	269	200
574	270	199
575	270	199
576	270	198
577	270	197
578	271	197
579	271	196
580	271	195
581	271	195
582	272	194
583	272	193
584	272	193
585	272	192
586	273	192
587	273	191
588	273	190
589	273	190
590	273	189
591	274	188
592	274	188
593	274	187
594	274	187
595	275	186
596	275	185
597	275	185
598	275	184
599	276	184
600	276	183
601	276	182
602	276	182
603	277	181
604	277	181
605	277	180
606	277	179
607	278	179
608	278	178
609	278	178
610	278	177
611	278	176
612	279	176
613	279	175
614	279	175
615	279	174
616	280	173
617	280	173
618	280	172
619	280	172
620	281	171
621	281	171
622	281	170
623	281	169
624	282	169
625	282	168
626	282	168
627	282	167
628	283	166
629	283	166
630	283	165
631	283	165
632	284	164
633	284	164
634	284	163
635	284	163
636	285	162
637	285	161
638	285	161
639	285	160
640	286	160
641	286	159
642	286	159
643	286	158
644	286	157
645	287	157
646	287	156
647	287	156
648	287	155
649	288	155
650	288	154
651	288	154
652	288	153
653	289	152
654	289	152
655	289	151
656	289	151
657	290	150
658	290	150
659	290	149
660	290	149
661	291	148
662	291	148
663	291	147
664	291	147
665	292	146
666	292	145
667	292	145
668	292	144
669	293	144
670	293	143
671	293	143
672	293	142
673	294	142
674	294	141
675	294	141
676	294	140
677	295	140
678	295	139
679	295	139
680	295	138
681	296	138
682	296	137
683	296	137
684	296	136
685	297	136
686	297	135
687	297	134
688	297	134
689	298	133
690	298	133
691	298	132
692	298	132
693	299	131
694	299	131
695	299	130
696	299	130
697	300	129
698	300	129
699	300	128
700	300	128
701	301	127
702	301	127
703	301	126
704	301	126
705	301	125
706	302	125
707	302	124
708	302	124
709	302	123
710	303	123
711	303	122
712	303	122
713	303	121
714	304	121
715	304	120
716	304	120
717	304	119
718	305	119
719	305	118
720	305	118
721	305	117
722	306	117
723	306	116
724	306	116
725	306	115
726	306	115
727	307	114
728	307	114
729	307	113
730	307	113
731	308	112
732	308	112
733	308	111
734	308	111
735	309	110
736	309	110
737	309	109
738	309	109
739	310	108
740	310	108
741	310	107
742	310	107
743	311	107
744	311	106
745	311	106
746	311	105
747	311	105
748	312	104
749	312	104
750	312	103
751	312	103
752	313	102
753	313	102
754	313	101
755	313	101
756	314	100
757	314	100
758	314	99
759	314	99
760	315	98
761	315	98
762	315	98
763	315	97
764	316	97
765	316	96
766	316	96
767	316	95
768	317	95
769	317	94
770	317	94
771	317	93
772	317	93
773	318	92
774	318	92
775	318	92
776	318	91
777	319	91
778	319	90
779	319	90
780	319	89
781	320	89
782	320	88
783	320	88
784	320	87
785	321	87
786	321	86
787	321	86
788	321	86
789	322	85
790	322	85
791	322	84
792	322	84
793	323	83
794	323	83
795	323	82
796	323	82
797	324	82
798	324	81
799	324	81
800	324	80
801	325	80
802	325	79
803	325	79
804	325	78
805	325	78
806	326	78
807	326	77
808	326	77
809	326	76
810	327	76
811	327	75
812	327	75
813	327	74
814	328	74
815	328	74
816	328	73
817	328	73
818	329	72
819	329	72
820	329	71
821	329	71
822	330	70
823	330	70
824	330	70
825	330	69
826	331	69
827	331	68
828	331	68
829	331	67
830	331	67
831	332	67
832	332	66
833	332	66
834	332	65
835	333	65
836	333	64
837	333	64
838	333	64
839	334	63
840	334	63
841	334	62
842	334	62
843	335	61
844	335	61
845	335	61
846	335	60
847	336	60
848	336	59
849	336	59
850	336	58
851	337	58
852	337	58
853	337	57
854	337	57
855	338	56
856	338	56
857	338	56
858	338	55
859	338	55
860	339	54
861	339	54
862	339	53
863	340	53
864	340	53
865	340	52
